Note,ADULT_CONTENT,HEALTH,DRUGS_ALCOHOL_GAMBLING,RACE,VIOLENCE_CRIME,POLITICS,RELATION,LOCATION
babies,1,0,0,0,0,0,0,0
strippers utah,1,0,0,0,0,0,0,0
bi,1,0,0,0,0,0,0,0
dumbass forgetting pay soda,1,0,0,0,0,0,0,0
sexual weekend planned california,1,0,0,0,0,0,0,0
hook hook,1,0,0,0,0,0,0,0
poor bastard,1,0,0,0,0,0,0,0
gay jess gay jess,1,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0
vegas bomb,1,0,0,0,0,0,0,0
lol u dumbass,1,0,0,0,0,0,0,0
blow one place bud,1,0,0,0,0,0,0,0
jackass,1,0,0,0,0,0,0,0
human sexuality book,1,0,0,0,0,0,0,0
big ol lesbian stuff,1,0,0,0,0,0,0,0
beast,1,0,0,0,0,0,0,0
definitely sexual stuff,1,0,0,0,0,0,0,0
touchin toan jo,1,0,0,0,0,0,0,0
wtf,1,0,0,0,0,0,0,0
one beer queer,1,0,0,0,0,0,0,0
hook,1,0,0,0,0,0,0,0
licking balls,1,0,0,0,0,0,0,0
cheese gay,1,0,0,0,0,0,0,0
lush bath bombs,1,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0
good pussy,1,0,0,0,0,0,0,0
cherry bombs,1,0,0,0,0,0,0,0
fuk u,1,0,0,0,0,0,0,0
sexual fantasy,1,0,0,0,0,0,0,0
great talks bomb lashes,1,0,0,0,0,0,0,0
adult entertainment,1,0,0,0,0,0,0,0
da bomb com,1,0,0,0,0,0,0,0
strippers blow,1,0,0,0,0,0,0,0
dyke,1,0,0,0,0,0,0,0
making eye contact lesbian jesus,1,0,0,0,0,0,0,0
queer money,1,0,0,0,0,0,0,0
strippers blow,1,0,0,0,0,0,0,0
drunk bastard,1,0,0,0,0,0,0,0
strippers,1,0,0,0,0,0,0,0
know cuba new constitution legalizes gay marriage,1,0,0,0,0,0,0,0
inchinsan sake bomb,1,0,0,0,0,0,0,0
og booby johnson,1,0,0,0,0,0,0,0
stella whitey parts bills basically making sure get stupid blow beach lol,1,0,0,0,0,0,0,0
first adult top dog,1,0,0,0,0,0,0,0
making hair look bomb af,1,0,0,0,0,0,0,0
fuk u,1,0,0,0,0,0,0,0
bomb rocketpopsicle,1,0,0,0,0,0,0,0
gender reveal,1,0,0,0,0,0,0,0
breast implants,1,1,0,0,0,0,0,0
jackass,1,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0
dismantaling heterosexual agenda,1,0,0,0,0,0,0,0
gay tax,1,0,0,0,0,0,0,0
bc ur babe,1,0,0,0,0,0,0,0
food lesbian,1,0,0,0,0,0,0,0
grade blowjobs,1,0,0,0,0,0,0,0
breast enhancement,1,1,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0
das bomb,1,0,0,0,0,0,0,0
homo things,1,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0
cause gay lol,1,0,0,0,0,0,0,0
bomb dot com,1,0,0,0,0,0,0,0
breast reduction cuz big,1,1,0,0,0,0,0,0
bitchin austrian brunch,1,0,0,0,0,0,0,0
gay boi,1,0,0,0,0,0,0,0
ur gay,1,0,0,0,0,0,0,0
beast,1,0,0,0,0,0,0,0
strippers blow ny treat yo self,1,0,0,0,0,0,0,0
toenail fungus cream,1,0,0,0,0,0,0,0
1315 1415 1515 100 get vegas bomb tonight extra cash thanks b,1,0,0,0,0,0,0,0
quit bitching,1,0,0,0,0,0,0,0
told pay stop bitchin,1,0,0,0,0,0,0,0
adult beverage,1,0,0,0,0,0,0,0
boobies,1,0,0,0,0,0,0,0
fun jamaica babe,1,0,0,0,0,0,0,1
gay rights activist,1,0,0,0,0,0,0,0
ass,1,0,0,0,0,0,0,0
hummer,1,0,0,0,0,0,0,0
hook,1,0,0,0,0,0,0,0
strippers,1,0,0,0,0,0,0,0
u da bomb,1,0,0,0,0,0,0,0
undies blow,1,0,0,0,0,0,0,0
rent pt1 everyone queer happy,1,0,0,0,0,0,0,0
bomb,1,0,0,0,0,0,0,0
internet minus bomb breakfast skillet 2nd second,1,0,0,0,0,0,0,0
stop bitching,1,0,0,0,0,0,0,0
bi mart festivalwristband festivalwristband,1,0,0,0,0,0,0,0
green bastard parts unknown,1,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0
sake bombs slice cheesecake please,1,0,0,0,0,0,0,0
sexual pleasure,1,0,0,0,0,0,0,0
order cosmopolitan money adult happy bday sister,1,0,0,0,0,0,0,0
getting blender bomb fix,1,0,0,0,0,0,0,0
save boobies,1,0,0,0,0,0,0,0
dumbass,1,0,0,0,0,0,0,0
fatass,1,0,0,0,0,0,0,0
gay agenda,1,0,0,0,0,0,0,0
dumbass,1,0,0,0,0,0,0,0
little man rent bastard needs get job love,1,0,0,0,0,0,0,0
post gorge pancakes bigger face,1,0,0,0,0,0,0,0
even vape bra,1,0,0,0,0,0,0,0
little late sake sake sake bomb bomb bomb,1,0,0,0,0,0,0,0
aga gay,1,0,0,0,0,0,0,0
marvin bra gift venmodollar,1,0,0,0,0,0,0,0
plz help dumbass booked overnight layover denver stuck help girl,1,0,0,0,0,0,0,0
bills jameson lesbians,1,0,0,0,0,0,0,0
peppermint candy fight club,1,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0
good blow,1,0,0,0,0,0,0,0
boobies,1,0,0,0,0,0,0,0
brothel money,1,0,0,0,0,0,0,0
bra,1,0,0,0,0,0,0,0
bigger scam,1,0,0,0,0,0,0,0
strippers blow,1,0,0,0,0,0,0,0
bath bombs,1,0,0,0,0,0,0,0
sexual harrassment training,1,0,0,0,0,0,0,0
bombs away,1,0,0,0,0,0,0,0
blow n cut n nails,1,0,0,0,0,0,0,0
pimp,1,0,0,0,0,0,0,0
brothel,1,0,0,0,0,0,0,0
one condom,1,0,0,0,0,0,0,0
strippers work mm,1,0,0,0,0,0,0,0
dumbass,1,0,0,0,0,0,0,0
strippers,1,0,0,0,0,0,0,0
blow,1,0,0,0,0,0,0,0
thank ally,1,0,0,0,0,0,0,0
pimp dues pt,1,0,0,0,0,0,0,0
vegas bomb,1,0,0,0,0,0,0,0
juice bombs,1,0,0,0,0,0,0,0
boobies,1,0,0,0,0,0,0,0
hanoi babe,1,0,0,0,0,0,0,0
responsible adults adult things,1,0,0,0,0,0,0,0
one time went gay club,1,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0
gay hookerz,1,0,0,0,0,0,0,0
arrogant bastard,1,0,0,0,0,0,0,0
ally stuff,1,0,0,0,0,0,0,0
blow,1,0,0,0,0,0,0,0
majorly expensive italian better bomb af,1,0,0,0,0,0,0,0
bomb,1,0,0,0,0,0,0,0
bitchy,1,0,0,0,0,0,0,0
breast augmentation fund,1,0,0,0,0,0,0,0
client stephani lomeli brazilian blow shampooconditioner ionic bonding spray,1,0,0,1,0,0,0,0
bigger dumb idiot,1,0,0,0,0,0,0,0
ally oats yummy,1,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0
dickhead,1,0,0,0,0,0,0,0
gay kids,1,0,0,0,0,0,0,0
beast mode,1,0,0,0,0,0,0,0
assholes,1,0,0,0,0,0,0,0
hustler,1,0,0,0,0,0,0,0
strippers drugs lot,1,0,1,0,0,0,0,0
fuc,1,0,0,0,0,0,0,0
hook,1,0,0,0,0,0,0,0
catch dance floor head banging third eye blind,1,0,0,0,0,0,0,0
said need new bra nt want buy one,1,0,0,0,0,0,0,0
sum fuk,1,0,0,0,0,0,0,0
sexual acts,1,0,0,0,0,0,0,0
fuk u,1,0,0,0,0,0,0,0
bomb,1,0,0,0,0,0,0,0
transgender equality uganda teu,1,0,0,0,0,0,0,0
boobies,1,0,0,0,0,0,0,0
gay things hotel,1,0,0,0,0,0,0,0
dickweed,1,0,0,0,0,0,0,0
sexual pleasures,1,0,0,0,0,0,0,0
taco assholes gon na hate bell,1,0,0,0,0,0,0,0
adult things,1,0,0,0,0,0,0,0
benham bath bombs,1,0,0,0,0,0,0,0
ca nt fight friction,1,0,0,0,0,0,0,0
irish car bombs,1,0,0,1,0,0,0,0
steak n boobies,1,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0
lesbian cousin smoothie,1,0,0,0,0,0,0,0
adult water,1,0,0,0,0,0,0,0
barf,1,0,0,0,0,0,0,0
bullcrap esquites,1,0,0,0,0,0,0,0
bitching price,1,0,0,0,0,0,0,0
bitchin eyeshadow,1,0,0,0,0,0,0,0
food fat asses,1,0,0,0,0,0,0,0
blow pop,1,0,0,0,0,0,0,0
blow bubbles,1,0,0,0,0,0,0,0
boobies,1,0,0,0,0,0,0,0
bastard,1,0,0,0,0,0,0,0
brothel,1,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0
good banging last weekend,1,0,0,0,0,0,0,0
brothel,1,0,0,0,0,0,0,0
queso kink,1,0,0,0,0,0,0,0
pimp mobile,1,0,0,0,0,0,0,0
nt burn house,1,0,0,0,0,0,0,0
bombs,1,0,0,0,0,0,0,0
hook ups ily,1,0,0,0,0,0,0,0
bomb pop,1,0,0,0,0,0,0,0
bigger dumbass,1,0,0,0,0,0,0,0
fight,1,0,0,0,0,0,0,0
bomb p,1,0,0,0,0,0,0,0
cardi cardi banging body spicy mami hot tamale hotter somali fur coat ferrari,1,0,0,0,0,0,0,0
job hook,1,0,0,0,0,0,0,0
dumbass,1,0,0,0,0,0,0,0
cheap bastard,1,0,0,0,0,0,0,0
ur fat bastard,1,0,0,0,0,0,0,0
buttplug,1,0,0,0,0,0,0,0
male strippers,1,0,0,0,0,0,0,0
martinis fight,1,0,0,0,0,0,0,0
gay boy drinks,1,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0
babysitting thanks babe,0,0,0,0,0,0,1,0
adult things,1,0,0,0,0,0,0,0
dumbass bills,1,0,0,0,0,0,0,0
adult diapers,1,0,0,0,0,0,0,0
adult rental,1,0,0,0,0,0,0,0
vegas bomb hoe,1,0,0,0,0,0,0,0
koz gay,1,0,0,0,0,0,0,0
strippers monday morning,1,0,0,0,0,0,0,0
gay stuff,1,0,0,0,0,0,0,0
boobies,1,0,0,0,0,0,0,0
sexual education,1,0,0,0,0,0,0,0
usd coaches gay,1,0,0,0,0,0,0,0
butthead,1,0,0,0,0,0,0,0
lesbians like us,1,0,0,0,0,0,0,0
sexual,1,0,0,0,0,0,0,0
nova babe,1,0,0,0,0,0,0,0
adult products jazz,1,0,0,0,0,0,0,0
gay drunk,1,0,0,0,0,0,0,0
bombs,1,0,0,0,0,0,0,0
cause dumbass tax,1,0,0,0,0,0,0,0
sperm donations,1,1,0,0,0,0,0,0
gay stuff,1,0,0,0,0,0,0,0
da chocolate bomb,1,0,0,0,0,0,0,0
fat asses,1,0,0,0,0,0,0,0
sake bomb,1,0,0,0,0,0,0,0
fight goin,1,0,0,0,0,0,0,0
homos,1,0,0,0,0,0,0,0
gangsta boogie,1,0,0,0,0,0,0,0
transgender equality uganda,1,0,0,0,0,0,0,0
fatass,1,0,0,0,0,0,0,0
dumbass,1,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0
lesbian activités,1,0,0,0,0,0,0,0
thx strippers,1,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0
loose gay boi,1,0,0,0,0,0,0,0
da bomb,1,0,0,0,0,0,0,0
adult water,1,0,0,0,0,0,0,0
sexual beets,1,0,0,0,0,0,0,0
steel assholes,1,0,0,0,0,0,0,0
4 blow dolls,1,0,0,0,0,0,0,0
burn card,1,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0
sexual services,1,0,0,0,0,0,0,0
happy birthday vegas bomb,1,0,0,0,0,0,0,0
irish car bombs,1,0,0,0,0,0,0,0
hook hook hook,1,0,0,0,0,0,0,0
cuz gay,1,0,0,0,0,0,0,0
hook,1,0,0,0,0,0,0,0
bombs,1,0,0,0,0,0,0,0
bi ch,1,0,0,0,0,0,0,0
cause gay,1,0,0,0,0,0,0,0
nips extra dollar bc miss queen,1,0,0,0,0,0,0,0
raffle tickets boobies help pay free mamograms low income familes 500 pick,1,0,0,0,0,0,0,0
lucky bastard,1,0,0,0,0,0,0,0
fight night,1,0,0,0,0,0,0,0
boobies,1,0,0,0,0,0,0,0
transfer zach plz u guys r bomb dot com,1,0,0,0,0,0,0,0
za bra,1,0,0,0,0,0,0,0
lots blow,1,0,0,0,0,0,0,0
eating arse,1,0,0,0,0,0,0,0
strippers,1,0,0,0,0,0,0,0
angs dumbass,1,0,0,0,0,0,0,0
back ally services numba 8,1,0,0,0,0,0,0,0
drunk assholes,1,0,0,0,0,0,0,0
lesbian,1,0,0,0,0,0,0,0
buzz bomb thing idk,1,0,0,0,0,0,0,0
im dumbass paid mistake,1,0,0,0,0,0,0,0
mean number sexual already,1,0,0,0,0,0,0,0
hook lexie,1,0,0,0,0,0,0,0
another vegas bomb,1,0,0,0,0,0,0,0
token lesbian,1,0,0,0,0,0,0,0
cause fat asses,1,0,0,0,0,0,0,0
gay stripper,1,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0
adult things,1,0,0,0,0,0,0,0
cute sweater bomb food put great mood poet even know,1,0,0,0,0,0,0,0
ur dumbass,1,0,0,0,0,0,0,0
billz grlz cholz adult aug1,1,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0
pimp ride,1,0,0,0,0,0,0,0
jager bomb,1,0,0,0,0,0,0,0
gay loft sight,1,0,0,0,0,0,0,0
bitching,1,0,0,0,0,0,0,0
blow,1,0,0,0,0,0,0,0
gay utilities bill,1,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0
burn fund,1,0,0,0,0,0,0,0
gay old day,1,0,0,0,0,0,0,0
wtf,1,0,0,0,0,0,0,0
bar fight,1,0,0,0,0,0,0,0
bombs,1,0,0,0,0,0,0,0
yo electric cab bomb,1,0,0,0,0,0,0,0
amazing massage totally spaced sending doll thanks babe,1,0,0,0,0,0,0,0
making donation know truly need world truly needs put money toward research devolving cure foul smelling foot fungus growing feet heels one live stench near stench good luck may god mercy shoe souls,1,0,0,0,0,0,0,0
sexual activities,1,0,0,0,0,0,0,0
hook,1,0,0,0,0,0,0,0
dumbass,1,0,0,0,0,0,0,0
cover gay bar,1,0,0,0,0,0,0,0
cuz bomb,1,0,0,0,0,0,0,0
thanks bra,1,0,0,0,0,0,0,0
u gay,1,0,0,0,0,0,0,0
hey fuk u,1,0,0,0,0,0,0,0
irish car bomb want,1,0,0,0,0,0,0,0
pimp juice,1,0,0,0,0,0,0,0
jager bomb tab,1,0,0,0,0,0,0,0
1 adult,1,0,0,0,0,0,0,0
babe 2 pig city,1,0,0,0,0,0,0,0
fuk sideways cheater,1,0,0,0,0,0,0,0
dumbass,1,0,0,0,0,0,0,0
sexism,1,0,0,0,0,0,0,0
bjs,1,0,0,0,0,0,0,0
bitching,1,0,0,0,0,0,0,0
bomb tacos,1,0,0,0,0,0,0,0
midget strippers,1,0,0,0,0,0,0,0
good road head gay,1,0,0,0,0,0,0,0
fatass,1,0,0,0,0,0,0,0
bitchy lady,1,0,0,0,0,0,0,0
minus sliders rug burn ointment,1,1,0,0,0,0,0,0
male strippers,1,0,0,0,0,0,0,0
fight,1,0,0,0,0,0,0,0
even know quiche poor bastard,1,0,0,0,0,0,0,0
homie hook,1,0,0,0,0,0,0,0
adult beverage,1,0,0,0,0,0,0,0
phenomenal sexual fulfillment,1,0,0,0,0,0,0,0
hook,1,0,0,0,0,0,0,0
breast feeding,1,1,0,0,0,0,0,0
second breast,1,0,0,0,0,0,0,0
ooby booby,1,0,0,0,0,0,0,0
cheap bastard,1,0,0,0,0,0,0,0
motherson movie night 2 adult tamara flores child mason,1,0,0,0,0,0,0,0
dumbass looking schedule,1,0,0,0,0,0,0,0
beauty beast,1,0,0,0,0,0,0,0
lake front bitchin view,1,0,0,0,0,0,0,0
irresponsible adult,1,0,0,0,0,0,0,0
dumbass,1,0,0,0,0,0,0,0
adult beverages,1,0,0,0,0,0,0,0
v gay phones,1,0,0,0,0,0,0,0
pimp dues,1,0,0,0,0,0,0,0
jerkoff sesh,1,0,0,0,0,0,0,0
spending friday night watching babe,1,0,0,0,0,0,0,0
adult bills,1,0,0,0,0,0,0,0
sexual services,1,0,0,0,0,0,0,0
grass assholes,1,0,0,0,0,0,0,0
car bombs,1,0,0,0,0,0,0,0
thanks paying broke asses,1,0,0,0,0,0,0,0
beast,1,0,0,0,0,0,0,0
tony dumbass,1,0,0,0,0,0,0,0
bad ass bihh,1,0,0,0,0,0,0,0
sexual acts,1,0,0,0,0,0,0,0
adult diapers,1,0,0,0,0,0,0,0
2018 crab feast 1 adult guest,1,0,0,0,0,0,0,0
dumbass,1,0,0,0,0,0,0,0
buried ditch,1,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0
two dumplings chilling tub vinegar 5 feet apart cause gay,1,0,0,0,0,0,0,0
beast,1,0,0,0,0,0,0,0
gay street dance,1,0,0,0,0,0,0,0
3 beer queer,1,0,0,0,0,0,0,0
bartender wanted us gay best friends,1,0,0,0,0,0,0,0
buttface,1,0,0,0,0,0,0,0
war prepared fight,1,0,0,0,0,0,0,0
cut blow,1,0,0,0,0,0,0,0
dumbass,1,0,0,0,0,0,0,0
raging homosexual,1,0,0,0,0,0,0,0
big gay,1,0,0,0,0,0,0,0
sake bombs,1,0,0,0,0,0,0,0
nyc strippers,1,0,0,0,0,0,0,0
dumbass forgot wallet lol,1,0,0,0,0,0,0,0
always loving decent heterosexual manner,1,0,0,0,0,0,0,0
transgender equality uganda thank,1,0,0,0,0,0,0,0
da bomb,1,0,0,0,0,0,0,0
boobies,1,0,0,0,0,0,0,0
fight ticket call eddy bolanos,1,0,0,0,0,0,0,0
yaya smooch,1,0,0,0,0,0,0,0
something sexual,1,0,0,0,0,0,0,0
jager bombs,1,0,0,0,0,0,0,0
sexual shenanigans kidding,1,0,0,0,0,0,0,0
brae burn,1,0,0,0,0,0,0,0
dumbass threw away debit card,1,0,0,0,0,0,0,0
fight night,1,0,0,0,0,0,0,0
first cocktail,1,0,0,0,0,0,0,0
buried wallet,1,0,0,0,0,0,0,0
oral copulation,1,0,0,0,0,0,0,0
hear ya mo one time gon na ya mo burn place ground,1,0,0,0,0,0,0,0
fight club,1,0,0,0,0,0,0,0
car bombs,1,0,0,0,0,0,0,0
sexual content,1,0,0,0,0,0,0,0
lesbian brunch irv,1,0,0,0,0,0,0,0
great burn,1,0,0,0,0,0,0,0
1 venmo 2 hook front door 3 working,1,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0
adult payments,1,0,0,0,0,0,0,0
cheap bastard,1,0,0,0,0,0,0,0
booby tickles,1,0,0,0,0,0,0,0
u da bomb,1,0,0,0,0,0,0,0
sexual kitty litter favors,1,0,0,0,0,0,0,0
breast milk,1,0,0,0,0,0,0,0
starving adult child,1,0,0,0,0,0,0,0
paying early enough money half extra cocktail tomorrow,1,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0
bombs,1,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0
bomb panda,1,0,0,0,0,0,0,0
hook em horns,1,0,0,0,0,0,0,0
dumbass,1,0,0,0,0,0,0,0
mount gay,1,0,0,0,0,0,0,0
modem router hook,1,0,0,0,0,0,0,0
dumbass reason,1,0,0,0,0,0,0,0
anti gay therapy,1,1,0,0,0,0,0,0
eat filipino food time,1,0,0,0,0,0,0,0
jager bomb stuff,1,0,0,0,0,0,0,0
homie hook,1,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0
weird sexual paraphernalia spencer marlee birthday,1,0,0,0,0,0,0,0
bomb azz,1,0,0,0,0,0,0,0
u gay,1,0,0,0,0,0,0,0
dumbass,1,0,0,0,0,0,0,0
da noodles wrr bomb,1,0,0,0,0,0,0,0
ur gay,1,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0
golf gay,1,0,0,0,0,0,0,0
bomb sandwich,1,0,0,0,0,0,0,0
zhenka bombs,1,0,0,0,0,0,0,0
bomb time trolley,1,0,0,0,0,0,0,0
meh cocktail,1,0,0,0,0,0,0,0
gay food,1,0,0,0,0,0,0,0
strippers,1,0,0,0,0,0,0,0
bomb,1,0,0,0,0,0,0,0
u da bomb,1,0,0,0,0,0,0,0
adult water,1,0,0,0,0,0,0,0
bitchin weekend,1,0,0,0,0,0,0,0
gay stuff,1,0,0,0,0,0,0,0
adult popsicles,1,0,0,0,0,0,0,0
camp gay love,1,0,0,0,0,0,0,0
dirty bastard,1,0,0,0,0,0,0,0
hook,1,0,0,0,0,0,0,0
adult beverages,1,0,0,0,0,0,0,0
burn baby burn,1,0,0,0,0,0,0,0
throwing asses n axes,1,0,0,0,0,0,0,0
eagles blow,1,0,0,0,0,0,0,0
adult stuff,1,0,0,0,0,0,0,0
im dumbass,1,0,0,0,0,0,0,0
base bump blow,1,0,0,0,0,0,0,0
homo,1,0,0,0,0,0,0,0
irish car bombs,1,0,0,0,0,0,0,0
official mature adult debauchery,1,0,0,0,0,0,0,0
gay swear,1,0,0,0,0,0,0,0
bigger,1,0,0,0,0,0,0,0
fuk u,1,0,0,0,0,0,0,0
tomahawk beast,1,0,0,0,0,0,0,0
asswipe,1,0,0,0,0,0,0,0
lolla dis bi h pt 2,1,0,0,0,0,0,0,0
lesbo,1,0,0,0,0,0,0,0
homo,1,0,0,0,0,0,0,0
air blow thing loves,1,0,0,0,0,0,0,0
nice try bastard,1,0,0,0,0,0,0,0
da bomb,1,0,0,0,0,0,0,0
dumbass,1,0,0,0,0,0,0,0
mercury sluts,1,0,0,0,0,0,0,0
act gay,1,0,0,0,0,0,0,0
hook,1,0,0,0,0,0,0,0
fulfilling sexual fantasies,1,0,0,0,0,0,0,0
expensive blow,1,0,0,0,0,0,0,0
bomb dinner,1,0,0,0,0,0,0,0
troll bigger thought,1,0,0,0,0,0,0,0
ur mum gay,1,0,0,0,0,0,0,0
blow dry thank,1,0,0,0,0,0,0,0
sexual healing,1,0,0,0,0,0,0,0
venmo amateur,1,0,0,0,0,0,0,0
emily dumbass,1,0,0,0,0,0,0,0
bomb lemonade,1,0,0,0,0,0,0,0
big booty strippers,1,0,0,0,0,0,0,0
dumbass,1,0,0,0,0,0,0,0
summer gay wear,1,0,0,0,0,0,0,0
bitchin ride,1,0,0,0,0,0,0,0
im gay 5 dollars 5 dollars,1,0,0,0,0,0,0,0
da bomb,1,0,0,0,0,0,0,0
blow,1,0,0,0,0,0,0,0
hook,1,0,0,0,0,0,0,0
bitching,1,0,0,0,0,0,0,0
dumbass,1,0,0,0,0,0,0,0
youda bomb,1,0,0,0,0,0,0,0
kissing homies goodnight longer considered gay kiss,1,0,0,0,0,0,0,0
gay guy,1,0,0,0,0,0,0,0
adult water,1,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0
ur gay,1,0,0,0,0,0,0,0
adult candy,1,0,0,0,0,0,0,0
fight night,1,0,0,0,0,0,0,0
dumbass friends split uber ended paying needed,1,0,0,0,0,0,0,0
bombs,1,0,0,0,0,0,0,0
fight,1,0,0,0,0,0,0,0
thanks dickhead,1,0,0,0,0,0,0,0
fuk one time,1,0,0,0,0,0,0,0
boobies,1,0,0,0,0,0,0,0
pull fight,1,0,0,0,0,0,0,0
beast,1,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0
beastiality obsession,1,0,0,0,0,0,0,0
homo,1,0,0,0,0,0,0,0
sexual stuff,1,0,0,0,0,0,0,0
getting locked room 58 half minutes adult ticket,1,0,0,0,0,0,0,0
uber since ppl bitchin,1,0,0,0,0,0,0,0
hook sinker,1,0,0,0,0,0,0,0
fat asses,1,0,0,0,0,0,0,0
sexual relations,1,0,0,0,0,0,0,0
10 bi boyfriend,1,0,0,0,0,0,0,0
za bra,1,0,0,0,0,0,0,0
gay water,1,0,0,0,0,0,0,0
lauren bra,1,0,0,0,0,0,0,0
blow e,1,0,0,0,0,0,0,0
hook ups,1,0,0,0,0,0,0,0
lesbian party goods,1,0,0,0,0,0,0,0
driving drunk asses home thank,1,0,0,0,0,0,0,0
gay,1,0,0,0,0,0,0,0
bra unstrap,1,0,0,0,0,0,0,0
blue boobies,1,0,0,0,0,0,0,0
da bomb,1,0,0,0,0,0,0,0
